Num_Circo;Nom;Prenom;Nb_Voix
056-03;LE PEIH;Nicole;24283
056-03;DORE-LUCAS;Marie Madeleine;18588
056-04;MOLAC;Paul;37678
056-04;GUEGAN;Rozenn;13631
056-05;MÉTAYER;Lysiane;19666
056-05;GIRARD;Damien;18634
056-06;JACQUES;Jean-Michel;23925
056-06;BAUDRY;Jean-Michel;19725
057-01;BELHADDAD;Belkhir;14277
057-01;LALOUX;Grégoire;13845
057-02;MENDES;Ludovic;13830
057-02;LAHORE;Lisa;10227
057-03;GROLET;Françoise;7394
057-03;LEDUC;Charlotte;5388
057-04;DI FILIPPO;Fabien;22655
057-04;RAMBOUR;Michel;10038
057-05;SEITLINGER;Vincent;16413
057-05;VOINÇON;Marie-Claude;11348
057-06;PFEFFER;Kévin;12368
057-06;AREND;Christophe;9347
057-07;LOUBET;Alexandre;18424
057-07;ZANNIER;Hélène;14829
057-08;JACOBELLI;Laurent;15176
057-08;LEGER;Céline;13770
057-09;RAUCH;Isabelle;20048
057-09;VAÏSSE;Brigitte;16386
058-01;GOULET;Perrine;16554
058-01;VIGNERON;Pauline;13858
058-02;PERROT;Patrice;15577
058-02;GUIBERT;Julien;15472
058-02;GUILLEMAIN;Marie Anne;11527
;;;
;;;
059-03;SAINT-HUILE;Benjamin;18448
059-03;DELANNOY;Sandra;17237
059-04;LISO;Brigitte;11849
059-04;DELEPIERE;Octave;8328
059-05;CATTEAU;Victor;16136
059-05;DELNESTE;Ophélie;14571
059-06;PARMENTIER-LECOCQ;Charlotte;25179
059-06;PEREIRA;Célia;14541
;;;
;;;
;;;
059-10;DARMANIN;Gérald;11043
059-10;MORTREUX;Leslie;6026
;;;
059-12;TAVERNE;Michaël;19551
059-12;CATTELOT;Anne Laure;17274
059-13;DECODTS;Christine;13110
059-13;DUVAL;Yohann;11596
059-14;CHRISTOPHE;Paul;16675
059-14;CUVELIER;Pierrette;14582
059-15;BERTELOOT;Pierrick;15120
059-15;DUCOURANT;Emilie;12057
059-16;MARCHIO;Matthieu;12072
059-16;BRUNEEL;Alain;11515
059-17;FRANCOIS;Thibaut;14275
